"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2019","1.7","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2020","1.8","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2021","1.5","M","A","2022-02-02","-","-"
"Cote d'Ivoire","Beach litter originating from national land-based sources ends in the Ocean","2022","2.2","M","A","2023-10-08","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2017","42.6","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2018","36.5","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2019","39","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2020","37.8","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2021","41.3","M","A","2022-02-02","-","-"
"Croatia","Beach litter originating from national land-based sources ends in the Ocean","2022","38","M","A","2023-10-08","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2017","22.4","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2018","26","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2019","31.3","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2020","22.8","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2021","23.9","M","A","2022-02-02","-","-"
"Cyprus","Beach litter originating from national land-based sources ends in the Ocean","2022","21.3","M","A","2023-10-08","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2017","51.9","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2018","58.8","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2019","55.1","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2020","52","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2021","53.2","M","A","2022-02-02","-","-"
"Democratic People's Republic of Korea","Beach litter originating from national land-based sources ends in the Ocean","2022","57.3","M","A","2023-10-08","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2017","4.8","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2018","6.6","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2019","5.1","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2020","4.3","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2021","2.4","M","A","2022-02-02","-","-"
"Democratic Republic of the Congo","Beach litter originating from national land-based sources ends in the Ocean","2022","4.8","M","A","2023-10-08","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2017","9.7","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2018","25.3","M","A","2022-02-02","-","-"
"Denmark","Beach litter originating from national land-based sources ends in the Ocean","2019","25.6","M","A","2022-02-02","-","-"
