"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2018","969","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2019","723","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2020","758","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2021","968","M","A","2022-02-02","-","-"
"Fiji","Beach litter originating from national land-based sources ends in the Ocean","2022","1279","M","A","2023-10-08","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2017","23","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2018","38","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2019","40","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2020","13","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2021","85","M","A","2022-02-02","-","-"
"Finland","Beach litter originating from national land-based sources ends in the Ocean","2022","46","M","A","2023-10-08","-","-"
"France","Beach litter originating from national land-based sources ends in the Ocean","2017","405","M","A","2022-02-02","-","-"
"France","Beach litter originating from national land-based sources ends in the Ocean","2018","507","M","A","2022-02-02","-","-"
"France","Beach litter originating from national land-based sources ends in the Ocean","2019","564","M","A","2022-02-02","-","-"
"France","Beach litter originating from national land-based sources ends in the Ocean","2020","459","M","A","2022-02-02","-","-"
"France","Beach litter originating from national land-based sources ends in the Ocean","2021","498","M","A","2022-02-02","-","-"
"France","Beach litter originating from national land-based sources ends in the Ocean","2022","520","M","A","2023-10-08","-","-"
"Gabon","Beach litter originating from national land-based sources ends in the Ocean","2017","12","M","A","2022-02-02","-","-"
"Gabon","Beach litter originating from national land-based sources ends in the Ocean","2018","9","M","A","2022-02-02","-","-"
"Gabon","Beach litter originating from national land-based sources ends in the Ocean","2019","10","M","A","2022-02-02","-","-"
